cycle_number,rul,voltage,current,capacity,charge_capacity
1,1973,3.317609395973154,0.04198360134228188,0.2895790187136461,1.0429621938642828
2,1972,3.299541944847605,-0.007399261248186039,0.3114113828092238,1.0009677191219175
3,1971,3.298689404934688,-0.01314543105950664,0.313121804374294,0.9996126425439468
4,1970,3.300398986975398,-0.012484823444283696,0.3122169020943878,1.000396712875466
5,1969,3.300901726618705,-0.014287202877698055,0.312121091934452,1.0020048572458082
6,1968,3.303000859598854,-0.012289525787965909,0.3107842180157589,1.0037291629317935
7,1967,3.302677635327635,-0.01356492307692334,0.3107855419673942,1.0055926523262921
8,1966,3.3041896306818184,-0.012235163352272916,0.30981768321101594,1.0067480062622336
9,1965,3.3036374823196604,-0.014077888260254804,0.3101834117122421,1.0080848709551344
10,1964,3.3054669014084506,-0.012091957746479174,0.3088705226917053,1.0097855694933517
11,1963,3.3066801966292134,-0.010833042134831763,0.3080046120279333,1.0108923783590873
12,1962,3.305999440559441,-0.012693405594405908,0.30837504896270335,1.012201040445615
13,1961,3.3074465829846584,-0.011338828451882891,0.30751337256702244,1.0133681113943185
14,1960,3.3078194714881777,-0.010183136300417443,0.3073704123358054,1.0144211117246231
15,1959,3.306775728155339,-0.012613020804438551,0.3074616873439661,1.015203052554712
16,1958,3.307719390581717,-0.011915986149584328,0.3070370092528465,1.0157976609137476
17,1957,3.3085897790055245,-0.010693792817679694,0.30618178723910333,1.0168907851730407
18,1956,3.309361019283746,-0.010029690082644663,0.3053440865893782,1.0176501436252734
19,1955,3.308130769230769,-0.01244682829670343,0.3061502331654451,1.0184242264304835
20,1954,3.3089570644718793,-0.011814759945130532,0.3057314909083976,1.0189890719958887
21,1953,3.3092009589041096,-0.011173784931507065,0.3053138852587513,1.019575685781587
22,1952,3.309638850889193,-0.011212061559507656,0.304894953940568,1.0197327968684484
23,1951,3.3103680327868856,-0.011155349726776233,0.30446533287795946,1.0199473114719981
24,1950,3.3106519125683063,-0.010630071038251653,0.3047610423269575,1.0202851118359177
25,1949,3.3116435967302453,-0.00989305177111726,0.3036552621026335,1.0210920029503532
26,1948,3.310915122615804,-0.009367707084468832,0.3036524022971535,1.0214115219894837
27,1947,3.311833967391304,-0.00926447690217427,0.3028250365300419,1.0218276211420636
28,1946,3.3102423337856175,-0.012294082767978616,0.3040340512701638,1.0220002744651786
29,1945,3.3106524390243908,-0.01165527642276435,0.3036260303899424,1.022597192519201
30,1944,3.3109729364005416,-0.011588755074425158,0.3031989160614942,1.0227831981694517
31,1943,3.3108158322056833,-0.011677630581867403,0.3031963416892194,1.0229676698748351
32,1942,3.3113289189189183,-0.011579129729729654,0.30271456428678667,1.0229556597957998
33,1941,3.3112860810810814,-0.011109264864865053,0.30278661899399373,1.02322431605706
34,1940,3.311734547908232,-0.011039294197031034,0.3023791040710748,1.023447100177691
35,1939,3.3120097035040432,-0.010406203504043293,0.3019713974992509,1.0240094993736921
36,1938,3.3121196765498655,-0.010443843665768015,0.3019631136118597,1.0239784144451953
37,1937,3.312189353099731,-0.01052133018867909,0.30225383845088316,1.0239658679750696
38,1936,3.3126464333781964,-0.01040866083445498,0.30088529728203967,1.0242001007656678
39,1935,3.3124586810228798,-0.009884255720054051,0.3015611923171823,1.0245166712632743
40,1934,3.3129711021505375,-0.00979363978494656,0.30115869906660664,1.0247628965636237
41,1933,3.312931720430108,-0.009859799731182792,0.30115608956839884,1.02471105483946
42,1932,3.3129071236559136,-0.009868985215053794,0.3011556904383212,1.0247024132564257
43,1931,3.3132897986577183,-0.009786566442953424,0.30074958020879916,1.0249366505205102
44,1930,3.313248322147651,-0.00979731946308736,0.3007482168344518,1.0249155502852376
45,1929,3.3135168900804293,-0.009163663538874002,0.3003428121313671,1.0254735063166542
46,1928,3.313294101876675,-0.00919649329758746,0.30103309041554954,1.0254617949404254
47,1927,3.3135990616621984,-0.00980754423592505,0.3003413127234137,1.0250897497244595
48,1926,3.3134953083109924,-0.009232390080429021,0.30034308085344047,1.025449024892391
49,1925,3.313377345844504,-0.009305056300268183,0.3003427744377418,1.0254094038334105
50,1924,3.3135057640750674,-0.009880957104557874,0.3003433778448018,1.0250708498138255
51,1923,3.313945576407507,-0.009799265415549738,0.300337150379803,1.0251031546265297
52,1922,3.3133867469879514,-0.009400641231593074,0.3006299509519559,1.02553239358434
53,1921,3.3136,-0.00988245113788492,0.29994246699390137,1.025255193453074
54,1920,3.3136133868808564,-0.009877962516733717,0.29993895271828025,1.0252595059032459
55,1919,3.3136077643908965,-0.009880706827309425,0.29986651249442187,1.0252590030436588
56,1918,3.313927406417113,-0.009901279411764868,0.2995404511697859,1.0256825098265758
57,1917,3.313924197860963,-0.009786200534759619,0.29953906704916805,1.0254954444507598
58,1916,3.31408743315508,-0.010405414438502762,0.2995354475415923,1.0251106402068504
59,1915,3.31390320855615,-0.010361387700534902,0.29953763511215076,1.0251411235479826
60,1914,3.3139504010695187,-0.010409937165775318,0.2995351231246285,1.02511029325535
61,1913,3.313874064171123,-0.010424451871657806,0.2995354982323232,1.0250964843092711
62,1912,3.313852673796792,-0.010421735294117718,0.2995383523247177,1.025106566693407
63,1911,3.3138141711229947,-0.010394891711230005,0.2995328190248067,1.02511750376003
64,1910,3.3136441176470592,-0.010472758021390511,0.2995327443218952,1.0250704805704127
65,1909,3.3139727636849137,-0.010407620827770482,0.2991336882917964,1.0252766319073612
